Ticker,Sector,Industry,Number of Employees
0001.HK,Industrials,Conglomerates,300000.0
0002.HK,Utilities,Utilities - Regulated Electric,8159.0
0003.HK,Utilities,Utilities - Regulated Gas,56444.0
0004.HK,Real Estate,Real Estate - Development,6400.0
0005.HK,Financial Services,Banks - Diversified,213978.0
0006.HK,Utilities,Utilities - Independent Power Producers,13.0
0010.HK,Real Estate,Real Estate Services,4141.0
0011.HK,Financial Services,Banks - Regional,8396.0
0012.HK,Real Estate,Real Estate - Diversified,9835.0
0016.HK,Real Estate,Real Estate - Development,40000.0
0017.HK,Real Estate,Real Estate - Diversified,13000.0
0019.HK,Industrials,Conglomerates,78000.0
0020.HK,Technology,Software - Application,4531.0
0023.HK,Financial Services,Banks - Regional,8140.0
0027.HK,Consumer Cyclical,Resorts & Casinos,20400.0
0066.HK,Industrials,Railroads,33405.0
0083.HK,Real Estate,Real Estate - Development,9700.0
0101.HK,Real Estate,Real Estate Services,4059.0
0135.HK,Energy,Oil & Gas Refining & Marketing,27138.0
0144.HK,Industrials,Marine Shipping,7749.0
0151.HK,Consumer Defensive,Packaged Foods,39887.0
0168.HK,Consumer Defensive,Beverages - Brewers,30687.0
0175.HK,Consumer Cyclical,Auto Manufacturers,60000.0
0177.HK,Industrials,Infrastructure Operations,4754.0
0257.HK,Industrials,Waste Management,12000.0
0267.HK,Industrials,Conglomerates,188862.0
0270.HK,Utilities,Utilities - Regulated Water,11495.0
0288.HK,Consumer Defensive,Packaged Foods,101000.0
0291.HK,Consumer Defensive,Beverages - Brewers,27232.0
0293.HK,Industrials,Airlines,23800.0
0317.HK,Industrials,Aerospace & Defense,6974.0
0322.HK,Consumer Defensive,Packaged Foods,66807.0
0338.HK,Energy,Oil & Gas Refining & Marketing,No Info
0347.HK,Basic Materials,Steel,26964.0
0358.HK,Basic Materials,Copper,26066.0
0371.HK,Utilities,Utilities - Regulated Water,76608.0
0384.HK,Utilities,Utilities - Regulated Gas,No Info
0386.HK,Energy,Oil & Gas Integrated,368009.0
0388.HK,Financial Services,Financial Data & Stock Exchanges,2419.0
0390.HK,Industrials,Engineering & Construction,299652.0
0392.HK,Industrials,Conglomerates,31000.0
0489.HK,Consumer Cyclical,Auto Manufacturers,112706.0
0525.HK,Industrials,Railroads,37906.0
0551.HK,Consumer Cyclical,Footwear & Accessories,264700.0
0656.HK,Industrials,Conglomerates,108000.0
0659.HK,Industrials,Engineering & Construction,14500.0
0669.HK,Industrials,Tools & Accessories,47224.0
0670.HK,Industrials,Airlines,81781.0
0688.HK,Real Estate,Real Estate - Development,3651.0
0696.HK,Technology,Information Technology Services,6620.0
0700.HK,Communication Services,Internet Content & Information,104787.0
0728.HK,Communication Services,Telecom Services,278539.0
0753.HK,Industrials,Airlines,102874.0
0762.HK,Communication Services,Telecom Services,242891.0
0763.HK,Technology,Communication Equipment,72093.0
0836.HK,Utilities,Utilities - Independent Power Producers,22203.0
0857.HK,Energy,Oil & Gas Integrated,375803.0
0883.HK,Energy,Oil & Gas E&P,21786.0
0902.HK,Utilities,Utilities - Independent Power Producers,57038.0
0914.HK,Basic Materials,Building Materials,50769.0
0916.HK,Utilities,Utilities - Renewable,8752.0
0939.HK,Financial Services,Banks - Diversified,376871.0
0941.HK,Communication Services,Telecom Services,451830.0
0945.HK,Financial Services,Insurance - Life,38000.0
0960.HK,Real Estate,Real Estate - Development,29116.0
0966.HK,Financial Services,Insurance - Life,65378.0
0981.HK,Technology,Semiconductors,20223.0
0992.HK,Technology,Computer Hardware,69500.0
0998.HK,Financial Services,Banks - Regional,66891.0
1033.HK,Energy,Oil & Gas Drilling,63392.0
1038.HK,Utilities,Utilities - Regulated Electric,2407.0
1044.HK,Consumer Defensive,Household & Personal Products,23000.0
1055.HK,Industrials,Airlines,99468.0
1071.HK,Utilities,Utilities - Regulated Electric,24778.0
1088.HK,Energy,Thermal Coal,83439.0
1093.HK,Healthcare,Drug Manufacturers - General,23500.0
1099.HK,Healthcare,Medical Distribution,115959.0
1109.HK,Real Estate,Real Estate - Development,61658.0
1113.HK,Real Estate,Real Estate - Development,57000.0
1114.HK,Consumer Cyclical,Auto Manufacturers,1200.0
1128.HK,Consumer Cyclical,Resorts & Casinos,11300.0
1171.HK,Energy,Thermal Coal,79242.0
1177.HK,Healthcare,Biotechnology,25806.0
1186.HK,Industrials,Engineering & Construction,267587.0
1193.HK,Utilities,Utilities - Regulated Gas,58608.0
1211.HK,Consumer Cyclical,Auto Manufacturers,703500.0
1288.HK,Financial Services,Banks - Diversified,451003.0
1299.HK,Financial Services,Insurance - Life,No Info
1336.HK,Financial Services,Insurance - Life,30662.0
1339.HK,Financial Services,Insurance - Property & Casualty,175881.0
1359.HK,Financial Services,Asset Management,13908.0
1398.HK,Financial Services,Banks - Diversified,419252.0
1576.HK,Industrials,Infrastructure Operations,696.0
1618.HK,Industrials,Engineering & Construction,99300.0
1766.HK,Industrials,Railroads,154292.0
1800.HK,Industrials,Engineering & Construction,144813.0
1816.HK,Utilities,Utilities - Independent Power Producers,19038.0
1898.HK,Energy,Thermal Coal,47122.0
1919.HK,Industrials,Marine Shipping,31654.0
1928.HK,Consumer Cyclical,Resorts & Casinos,25906.0
1972.HK,Real Estate,Real Estate Services,5700.0
1988.HK,Financial Services,Banks - Regional,63742.0
2018.HK,Technology,Communication Equipment,29922.0
2020.HK,Consumer Cyclical,Leisure,60500.0
2039.HK,Industrials,Metal Fabrication,18308.0
2066.HK,Financial Services,Banks - Regional,8574.0
2196.HK,Healthcare,Drug Manufacturers - Specialty & Generic,40370.0
2202.HK,Real Estate,Real Estate - Development,131097.0
2238.HK,Consumer Cyclical,Auto Manufacturers,96825.0
2282.HK,Consumer Cyclical,Resorts & Casinos,11786.0
2313.HK,Consumer Cyclical,Textile Manufacturing,92030.0
2318.HK,Financial Services,Insurance - Life,288751.0
2319.HK,Consumer Defensive,Packaged Foods,46064.0
2328.HK,Financial Services,Insurance - Property & Casualty,164653.0
2333.HK,Consumer Cyclical,Auto Manufacturers,82439.0
2338.HK,Consumer Cyclical,Auto Manufacturers,89162.0
2378.HK,Financial Services,Insurance - Life,15030.0
2388.HK,Financial Services,Banks - Regional,14916.0
2600.HK,Basic Materials,Aluminum,64504.0
2601.HK,Financial Services,Insurance - Life,98732.0
2607.HK,Healthcare,Medical Distribution,48164.0
2628.HK,Financial Services,Insurance - Life,100000.0
2638.HK,Utilities,Utilities - Regulated Electric,1657.0
2688.HK,Utilities,Utilities - Regulated Gas,No Info
2689.HK,Basic Materials,Paper & Paper Products,23079.0
2727.HK,Industrials,Specialty Industrial Machinery,42190.0
2799.HK,Financial Services,Asset Management,5080.0
2866.HK,Industrials,Aerospace & Defense,11261.0
2883.HK,Energy,Oil & Gas Equipment & Services,15472.0
2888.HK,Financial Services,Banks - Diversified,83446.0
2899.HK,Basic Materials,Gold,55239.0
3311.HK,Industrials,Engineering & Construction,No Info
3328.HK,Financial Services,Banks - Diversified,94275.0
3618.HK,Financial Services,Banks - Regional,15017.0
3898.HK,Industrials,Railroads,8362.0
3968.HK,Financial Services,Banks - Regional,116529.0
3988.HK,Financial Services,Banks - Diversified,306931.0
6030.HK,Financial Services,Capital Markets,26822.0
6808.HK,Consumer Cyclical,Department Stores,86226.0
6818.HK,Financial Services,Banks - Regional,48428.0
6823.HK,Communication Services,Telecom Services,13400.0
6837.HK,Financial Services,Capital Markets,13637.0
6881.HK,Financial Services,Capital Markets,14030.0
6886.HK,Financial Services,Capital Markets,16658.0
9618.HK,Consumer Cyclical,Internet Retail,517124.0
9888.HK,Communication Services,Internet Content & Information,39800.0
9901.HK,Consumer Defensive,Education & Training Services,No Info
9961.HK,Consumer Cyclical,Travel Services,36249.0
9988.HK,Consumer Cyclical,Internet Retail,204891.0
9999.HK,Communication Services,Electronic Gaming & Multimedia,29128.0
